Area (km²),Centroid Latitude (WGS84),Centroid Longitude (WGS84),Vegetation_1,Vegetation_2
287227,32.5138497154746,86.82105544742736,紫花针茅草原,禾草、薹草高寒草原
193262,31.088964796567566,89.72767544912558,小嵩草草甸,嵩草、杂类草高寒草甸
59012,43.51734059964142,112.48136736539658,戈壁针茅草原和石生针茅草原,
55382,34.49539826999964,82.18859088459928,青藏薹草、紫花针茅草原,禾草、薹草高寒草原
55039,35.41946505936723,87.46600134458629,青藏薹草、垫状驼绒藜草原,禾草、薹草高寒草原
37735,34.37771945118765,85.95456472217832,青藏薹草草原,禾草、薹草高寒草原
31916,32.75432201346682,99.0074196698893,小嵩草草甸,嵩草、杂类草高寒草甸
31627,32.88937501003788,81.56934198987805,沙生针茅草原,温带丛生矮禾草、矮半灌木荒漠草原
25577,33.03182575019915,102.4706750557142,四川嵩草草甸,嵩草、杂类草高寒草甸
22967,48.17706962419742,125.54157906247413,芦苇草甸,禾草、杂类草盐生草甸
20470,45.33357359766777,117.4175774373383,大针茅草原,温带丛生禾草草原
19793,31.055422939630432,81.64228909900457,紫花针茅草原,禾草、薹草高寒草原
18124,30.98554100635319,98.16916729895053,雪层杜鹃、髯花杜鹃灌丛和小嵩草、圆穗蓼草甸,
16335,52.06456607128318,124.59588984086092,含柴桦的,禾草、薹草及杂类草沼泽化草甸
15919,29.33212945958409,108.92594183815663,扭黄茅、龙须草、白茅草丛,亚热带、热带草丛
15728,38.37032125987229,107.83920360732468,沙蒿、禾草草原,温带丛生禾草草原
15563,31.151800441455844,93.45699277888335,小嵩草、圆穗蓼草甸,嵩草、杂类草高寒草甸
15459,34.15486622694774,100.10029760109136,小嵩草草甸,嵩草、杂类草高寒草甸
15422,28.82889411557668,91.00444446815968,小嵩草草甸,嵩草、杂类草高寒草甸
13885,35.46331110485372,97.03626891168402,紫花针茅草原,禾草、薹草高寒草原
12944,43.997217749092265,115.58358701655784,大针茅草原,温带丛生禾草草原
12542,38.64905009112566,109.37357333446404,沙米、虫实、猪毛菜沙地先锋植物群落,温带丛生禾草草原
11495,30.266479377059493,97.31456255624158,雪层杜鹃、髯花杜鹃灌丛和小嵩草、圆穗蓼草甸,
11328,47.0411228007611,127.13239896602735,小白花地榆、金莲花、禾草草甸,禾草、杂类草草甸
10949,35.12031021431036,90.17622913453911,紫花针茅、青藏薹草草原和青藏薹草、紫花针茅草原,
10717,29.972127838938114,83.44739855241964,小嵩草草甸,嵩草、杂类草高寒草甸
10613,28.833387882499146,87.61218296863423,小嵩草草甸,嵩草、杂类草高寒草甸
10294,39.5230147166378,108.55178555451418,沙米、虫实、猪毛菜沙地先锋植物群落,温带丛生禾草草原
10058,33.93712689203812,89.2440775170566,青藏薹草草原,禾草、薹草高寒草原
9918,31.35252912056125,80.11897214105598,沙生针茅草原,温带丛生矮禾草、矮半灌木荒漠草原
9374,41.72541530800313,108.85930676538675,戈壁针茅草原和石生针茅草原,
9295,34.79081447928864,101.46383150293396,小嵩草草甸,嵩草、杂类草高寒草甸
9100,38.551490178833625,112.59585547514152,荆条、酸枣、白羊草灌草丛,温带草丛
9094,31.547717786956078,85.50900727208607,小嵩草草甸,嵩草、杂类草高寒草甸
8961,36.39853798664594,87.98955347542298,青藏薹草、紫花针茅草原,禾草、薹草高寒草原
8944,47.661913357926906,88.507860910645,沟叶羊茅草原,温带丛生禾草草原
8779,49.939811039325136,119.74268975279622,羊草、杂类草草原,温带禾草、杂类草草甸草原
8441,33.30603057215052,97.77880350791328,小嵩草草甸,嵩草、杂类草高寒草甸
8240,36.5520139447747,102.06051093291786,长芒草、赖草、蒿草原,温带丛生禾草草原
8222,49.39193457555318,116.97407559196314,羊草、丛生禾草草原,温带丛生禾草草原
8013,44.324452235567065,116.48354668368106,大针茅草原,温带丛生禾草草原
7937,44.39999380188671,116.43685730931755,芨芨草草甸,禾草、杂类草盐生草甸
7902,35.98227335096947,91.88883656280015,紫花针茅草原,禾草、薹草高寒草原
7808,50.845404185768736,125.88508593937091,小白花地榆、金莲花、禾草草甸,禾草、杂类草草甸
